Date,Close/Last,Volume,Open,High,Low
05/23/2018,$91.0253,18381613,$97.5729,$97.6371,$90.5759
05/22/2018,$98.1507,8052016,$98.7926,$100.0764,$98.1507
05/21/2018,$97.9581,9662645,$98.60,$99.8197,$97.5729
05/18/2018,$96.0965,4291410,$96.8026,$96.931,$95.7755
05/17/2018,$96.4816,6327324,$97.0594,$97.8297,$95.7755
05/16/2018,$96.4816,6410411,$94.4275,$96.931,$94.2991
05/15/2018,$94.4275,4402695,$94.3633,$94.4917,$93.4967
05/14/2018,$94.4275,4708014,$94.3633,$95.0052,$93.9781
05/11/2018,$93.7214,3573221,$94.6201,$94.8126,$93.2078
05/10/2018,$94.2991,4683453,$94.7484,$94.7484,$93.0794
05/09/2018,$93.8497,6357579,$92.1165,$94.2349,$91.7956
05/08/2018,$91.603,7325169,$91.0253,$93.0152,$90.4475
05/07/2018,$90.3191,4106076,$90.4475,$91.0253,$89.8698
05/04/2018,$90.5117,5237003,$89.0353,$90.7043,$88.3934
05/03/2018,$89.4204,7579998,$91.0895,$91.0895,$88.9069
05/02/2018,$91.0253,6211645,$90.5117,$92.277,$90.3833
05/01/2018,$90.1908,6411696,$90.3833,$90.4475,$88.7464
04/30/2018,$90.3191,6050203,$92.2449,$92.3733,$90.3191
04/27/2018,$92.3091,6096063,$91.282,$92.951,$91.0895
04/26/2018,$92.3091,8085070,$90.5759,$93.0473,$90.2549
